product_name, price, link, color
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20206-ckhp20206-pk.html, MULTI
dupatta, 1590, https://pk.khaadi.com/new-in/ade20211-ade20211-pk.html, PINK
kameez dupatta, 2790, https://pk.khaadi.com/new-in/m20206-m20206-pk.html, BLUE, BLACK
shirt shalwar, 2690, https://pk.khaadi.com/new-in/i20201-i20201-pk.html, PURPLE, BEIGE
shirt shalwar, 3990, https://pk.khaadi.com/new-in/ji20202-ji20202-pk.html, WHITE
hair clip, 195, https://pk.khaadi.com/new-in/kahc20255-kahc20255-pk.html, MULTI
hair clip, 195, https://pk.khaadi.com/new-in/kahc20256-kahc20256-pk.html, MULTI
rug, 5500, https://pk.khaadi.com/new-in/hfr20201-hfr20201-pk.html, DEFAULT
rug, 5500, https://pk.khaadi.com/new-in/hfr20203-hfr20203-pk.html, DEFAULT
coaster, 100, https://pk.khaadi.com/new-in/ckc20201-ckc20201-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20206-ckc20206-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20207-ckc20207-pk.html, MULTI
coaster, 500, https://pk.khaadi.com/new-in/hcc20201-hcc20201-pk.html, DEFAULT
coaster, 500, https://pk.khaadi.com/new-in/hcc20205-hcc20205-pk.html, DEFAULT
coaster, 500, https://pk.khaadi.com/new-in/hcc20206-hcc20206-pk.html, DEFAULT
coaster, 500, https://pk.khaadi.com/new-in/hcc20207-hcc20207-pk.html, DEFAULT
table mat, 350, https://pk.khaadi.com/new-in/htmp20204-htmp20204-pk.html, DEFAULT
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/k20201-k20201-pk.html, PINK, GREEN
kurta, 8990, https://pk.khaadi.com/new-in/kck20208-kck20208-pk.html, GREEN
kurta, 3490, https://pk.khaadi.com/new-in/etpe20214-etpe20214-pk.html, BEIGE
kurta, 3990, https://pk.khaadi.com/new-in/etp20212-etp20212-pk.html, BLUE, BEIGE
pants, 4490, https://pk.khaadi.com/new-in/kfb20302-kfb20302-pk.html, BLACK
shalwar, 2490, https://pk.khaadi.com/new-in/wshe20209-wshe20209-pk.html, BLACK, WHITE, BEIGE
kurta dupatta, 5490, https://pk.khaadi.com/new-in/kdpe20202-kdpe20202-pk.html, GREY
pants, 1990, https://pk.khaadi.com/new-in/wbp20207-wbp20207-pk.html, BLACK, WHITE, BEIGE, OFF-WHITE
pants, 1990, https://pk.khaadi.com/new-in/wbp20211-wbp20211-pk.html, OFF-WHITE
kurta, 5490, https://pk.khaadi.com/new-in/ete20228-ete20228-pk.html, YELLOW
kurta, 8990, https://pk.khaadi.com/new-in/kck20307-kck20307-pk.html, OFF-WHITE
kurta, 7990, https://pk.khaadi.com/new-in/kck20207-kck20207-pk.html, PINK
pants, 4490, https://pk.khaadi.com/new-in/kfb20301-kfb20301-pk.html, BEIGE
shalwar, 4990, https://pk.khaadi.com/new-in/kfb20305-kfb20305-pk.html, WHITE
shalwar, 4990, https://pk.khaadi.com/new-in/kfb20303-kfb20303-pk.html, WHITE
pants, 4490, https://pk.khaadi.com/new-in/kfb20306-kfb20306-pk.html, WHITE
kurta, 3490, https://pk.khaadi.com/new-in/ctp20209-ctp20209-pk.html, BLUE, BEIGE
kurta, 4990, https://pk.khaadi.com/new-in/etbp20210-etbp20210-pk.html, ORANGE
kurta, 4990, https://pk.khaadi.com/new-in/etbp20205-etbp20205-pk.html, OFF-WHITE
kurta, 3990, https://pk.khaadi.com/new-in/etbp20215-etbp20215-pk.html, WHITE, BEIGE
kurta, 3200, https://pk.khaadi.com/new-in/cte20201-cte20201-pk.html, YELLOW
kurta, 2200, https://pk.khaadi.com/new-in/ctp20204-ctp20204-pk.html, PINK, RED
kurta, 3490, https://pk.khaadi.com/new-in/ctpe20210-ctpe20210-pk.html, PINK
kurta, 3490, https://pk.khaadi.com/new-in/ctpe20211-ctpe20211-pk.html, PINK
kurta, 3490, https://pk.khaadi.com/new-in/etp20201-etp20201-pk.html, GREY, GREEN
kurta, 2490, https://pk.khaadi.com/new-in/etp20205-etp20205-pk.html, WHITE, OFF-WHITE
kurta, 4990, https://pk.khaadi.com/new-in/ete20224-ete20224-pk.html, WHITE
kurta, 2500, https://pk.khaadi.com/new-in/ctp20214-ctp20214-pk.html, BLUE, YELLOW
